TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
36.41,36.8,20.26,25.4,75.08,0.08,0,0,4.43,11.76,0.06,5.23,41.52,29.55,0.06,2.04,50.26,1.46,20.48,6.79,5.2,17.6,0,0,0.36,1.93,33.9
1.16,1.8,2.69,13.05,0.88,4.29,10.29,6.42,22.1,14.15,4.63,5.3,2.08,31.44,27.54,14.87,4.47,9.81,0,0,0,0,0,0.07,16.56,3.91,7.32
21.62,106.6,0,30.47,10.18,11.29,2.87,0.79,27.45,26.62,35.4,79.04,23.9499999999999,3.73,19.95,58.82,70.57,8.99999999999999,2.87,14.52,8.4,0,0,0.5,64.77,3.01,8.47999999999998
0.83,4.2,24.17,0.2,14.85,5.97,1.83,0.3,5.9,0.78,4.55,2.16,3.41,0,1.96,2.99,2.29,2.3,0.28,0.66,0,1.6,0,0,0.91,0.42,0.12
0.35,0,0.9,0.15,2.04,0.41,0.04,2.63,1.84,0.04,0.42,0.51,1.04,0,25.16,0,0.68,2.59,0.1,0.06,0.2,0,0,1.5,1.62,0,1.53
0.16,0,0.02,0.02,0,0.24,0,0.03,0,0.06,0.56,0,0,0,0.04,0,0,0.04,0.16,0.08,0,0,0,0.02,0.92,0.88,0.78
0.08,7.6,0.32,0.1,0.04,0,0.63,0,0,0.06,0.26,0,0.02,0.02,0.79,0.65,0,0,0.1,0,0,0,0,0,0.64,2.03,0.02
0.04,0.4,0.06,0,3.2,0.27,0,7.57,1.34,0,0.06,15.25,0,0,0.13,16.43,3.02,0,0,0,0,0.4,0,0,3.3,33.69,68.8
0.02,17.4,5.72,0.04,0.02,2.96,0.84,0,0.02,0.1,0.1,14.83,0,0,19.36,2.67,0.02,0.17,20.03,18.11,20.6,31.4,0.02,0,10.07,8.96,0.8
1.06,0.4,0.49,0.89,1.3,16.69,9.02,0.02,0.71,0.14,8.77,15.34,0,0,0,8.07,0,2.45,5.55,13.76,4.4,19.8,8.23999999999999,0,17.23,8.61,16.7
0,5.2,0.02,0,0,2.33,7.05,0,1.02,0.08,6.51,11.72,0,0,18.79,0.43,0,4.76,1.5,3.32,0,7.6,9.59999999999998,0,35.74,2.5,26.19
